sgRNA_id gene_id list adjusted_ratio
p76153940 ADK list -0.297254
p76154015 ADK list -0.482305
m77891006 ADNP2 list 1.909958
p77875445 ADNP2 list 0.350425
p77875475 ADNP2 list 0.798271
p77875482 ADNP2 list 1.156651
p77875499 ADNP2 list 1.499357
p77875511 ADNP2 list 0.978232
p77890985 ADNP2 list 0.331802
p77891013 ADNP2 list 0.403979
p77891042 ADNP2 list 0.607232
p77891053 ADNP2 list 0.016455
m49511043 ADNP list 0.735347
m49518579 ADNP list 0.719916
m49518587 ADNP list 2.546498
m49520451 ADNP list 1.347514
m49520507 ADNP list 2.215355
p49510837 ADNP list 0.924502
p49510899 ADNP list -0.287795
p49510949 ADNP list 1.592033
p49511011 ADNP list 0.861261
p49520498 ADNP list -0.144415
m36554512 ADPRHL2 list 0.488495
m36554557 ADPRHL2 list 0.830931
m36554563 ADPRHL2 list -0.512153
m36554576 ADPRHL2 list 0.276812
m36554620 ADPRHL2 list -0.803656
p36554501 ADPRHL2 list 0.870446
p36554520 ADPRHL2 list -1.188797
p36554568 ADPRHL2 list 1.031140
p36554580 ADPRHL2 list -0.560964
p36554606 ADPRHL2 list 1.734576
m26722399 ADRA1A list 0.349154
m26722428 ADRA1A list 1.260657
m26722434 ADRA1A list 0.255422
m26722473 ADRA1A list -0.239692
p26722329 ADRA1A list -0.052729
p26722406 ADRA1A list 0.217459
p26722412 ADRA1A list -0.628321
p26722419 ADRA1A list -0.537244
p26722438 ADRA1A list 0.343698
p26722465 ADRA1A list -2.175933
m159343921 ADRA1B list -0.350456
m159343926 ADRA1B list -1.306017
m159343934 ADRA1B list -0.706499
m159343996 ADRA1B list -0.548891
m159344001 ADRA1B list -0.509011
m159344006 ADRA1B list 1.272964
m159344028 ADRA1B list -0.556560
p159343905 ADRA1B list 2.453854
p159343912 ADRA1B list 0.337907
p159343940 ADRA1B list -0.172611
m115803922 ADRB1 list 0.029663
m115803930 ADRB1 list -0.072805
m115803938 ADRB1 list 0.803311
m115803996 ADRB1 list -1.174556
m115804005 ADRB1 list -0.393398
m115804012 ADRB1 list -1.052007
m115804041 ADRB1 list 1.149715
m115804047 ADRB1 list -0.035524
p115803878 ADRB1 list -0.935704
p115803909 ADRB1 list 0.670944
m148206406 ADRB2 list -0.588749
m148206447 ADRB2 list -0.747566
p148206408 ADRB2 list -1.140470
p148206418 ADRB2 list -0.245315
p148206432 ADRB2 list -0.150349
p148206450 ADRB2 list -1.286219
p148206455 ADRB2 list 0.344925
p148206462 ADRB2 list 0.704814
p148206467 ADRB2 list 0.456872
p148206474 ADRB2 list -0.230003
m37823829 ADRB3 list -0.680094
m37823842 ADRB3 list 2.200238
m37823867 ADRB3 list 1.055652
m37823894 ADRB3 list 0.158362
p37823813 ADRB3 list -0.133350
p37823900 ADRB3 list -0.154259
p37823908 ADRB3 list 0.083434
p37823913 ADRB3 list -0.343665
p37823952 ADRB3 list -0.487448
p37823958 ADRB3 list -0.529467
m67034181 ADRBK1 list -1.415943
m67034219 ADRBK1 list 0.106608
m67034242 ADRBK1 list -0.154058
m67034255 ADRBK1 list 1.471525
p67034160 ADRBK1 list 0.095621
p67034166 ADRBK1 list -0.123417
p67034172 ADRBK1 list -0.609466
p67034193 ADRBK1 list -0.940891
p67034199 ADRBK1 list -0.351017
p67034261 ADRBK1 list 1.410071
m25961078 ADRBK2 list 0.161644
m25961092 ADRBK2 list 0.796208
m25961108 ADRBK2 list -0.725079
m26000349 ADRBK2 list -1.134150
m26000370 ADRBK2 list -0.323867
m26057580 ADRBK2 list -0.742519
p25960997 ADRBK2 list -1.018860
p25961098 ADRBK2 list -0.062229
p26040592 ADRBK2 list 1.681918
p26057601 ADRBK2 list 0.479746
m60878634 ADRM1 list -0.061655
m60878651 ADRM1 list 0.067527
m60878679 ADRM1 list -0.731216
p60878615 ADRM1 list 1.580260
p60878642 ADRM1 list 2.434418
p60878671 ADRM1 list 0.161975
p60878682 ADRM1 list 0.890872
p60878687 ADRM1 list -1.801578
p60878704 ADRM1 list -0.071741
